Дата,Тип документа,Название,Количество,Цена,Сумма,Валовая прибыль (руб),Валовая прибыль (%),Сотрудник,Статус
05.01.2024 - 13:45,Заказ,Наклейка защитного стекла (Услуга),1,203,203,203,100.0,Петров Роман,Выдан
05.01.2024 - 14:09,Заказ,Диагностика,1,510,510,510,100.0,Администратор,Выдан
05.01.2024 - 16:35,Заказ,Защитное стекло 3D для iPhone 11/XR,2,483,966,870,90.06211180124224,Сидоров Алексей,Выдан
05.01.2024 - 16:59,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1194,1194,1097,91.87604690117253,Сидоров Алексей,Выдан
05.01.2024 - 19:26,Заказ,Кабель USB - Lightning (Foxconn),3,546,1638,1191,72.7106227106227,Петров Роман,Выдан
06.01.2024 - 10:12,Заказ,Восстановление цепи питания,1,4439,4439,3954,89.074115791845,Петров Роман,Выдан
06.01.2024 - 11:33,Заказ,Диагностика,1,548,548,548,100.0,Сидоров Алексей,Выдан
06.01.2024 - 12:25,Заказ,Чистка системы охлаждения с заменой термопасты,1,1508,1508,1407,93.3023872679045,Петров Роман,Выдан
06.01.2024 - 14:13,Заказ,Защитное стекло 3D для iPhone 11/XR,1,495,495,446,90.1010101010101,Сидоров Алексей,Выдан
06.01.2024 - 14:36,Заказ,Диагностика,1,466,466,466,100.0,Петров Роман,Выдан
06.01.2024 - 14:47,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",2,4493,8986,2746,30.558646783886047,Сидоров Алексей,Выдан
06.01.2024 - 15:13,Заказ,Восстановление цепи питания,1,4092,4092,3572,87.29227761485826,Иванов Сергей,Выдан
06.01.2024 - 16:22,Заказ,Защитное стекло 3D для iPhone 11/XR,1,476,476,426,89.49579831932773,Администратор,Выдан
06.01.2024 - 18:31,Заказ,Кабель USB - Lightning (Foxconn),1,659,659,504,76.4795144157815,Петров Роман,Выдан
07.01.2024 - 10:14,Заказ,Наклейка защитного стекла (Услуга),2,183,366,366,100.0,Иванов Сергей,Выдан
07.01.2024 - 10:28,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,470,470,279,59.361702127659576,Администратор,
07.01.2024 - 14:44,Заказ,Установка Windows 10/11 + Драйвера,1,1184,1184,1184,100.0,Сидоров Алексей,Выдан
07.01.2024 - 14:58,Заказ,Наклейка защитного стекла (Услуга),1,214,214,214,100.0,Сидоров Алексей,Выдан
07.01.2024 - 15:12,Заказ,Диагностика,1,521,521,521,100.0,Иванов Сергей,Выдан
07.01.2024 - 15:22,Продажа,Кабель USB - Lightning (Foxconn),1,642,642,496,77.25856697819314,Сидоров Алексей,
07.01.2024 - 16:02,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1209,1209,650,53.76344086021505,Администратор,Выдан
07.01.2024 - 18:19,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",3,4847,14541,5127,35.25892304518259,Сидоров Алексей,Выдан
07.01.2024 - 19:25,Заказ,Защитное стекло 3D для iPhone 11/XR,1,477,477,428,89.72746331236897,Иванов Сергей,Выдан
08.01.2024 - 10:00,Заказ,Чехол силиконовый прозрачный,1,286,286,225,78.67132867132867,Администратор,Выдан
08.01.2024 - 11:24,Заказ,Диагностика,1,542,542,542,100.0,Иванов Сергей,Выдан
08.01.2024 - 14:36,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5986,5986,2319,38.7403942532576,Иванов Сергей,Выдан
08.01.2024 - 18:29,Заказ,Чистка системы охлаждения с заменой термопасты,1,1541,1541,1440,93.44581440622972,Петров Роман,Выдан
09.01.2024 - 15:01,Заказ,Чистка системы охлаждения с заменой термопасты,1,1634,1634,1531,93.69645042839657,Иванов Сергей,Выдан
09.01.2024 - 15:35,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1265,1265,1169,92.41106719367589,Администратор,Выдан
09.01.2024 - 16:36,Заказ,Диагностика,2,529,1058,1058,100.0,Иванов Сергей,Выдан
09.01.2024 - 17:42,Заказ,Чистка системы охлаждения с заменой термопасты,1,1407,1407,1312,93.24804548685147,Иванов Сергей,Выдан
09.01.2024 - 18:40,Заказ,Наклейка защитного стекла (Услуга),2,195,390,390,100.0,Петров Роман,Выдан
09.01.2024 - 19:27,Заказ,Диагностика,1,497,497,497,100.0,Петров Роман,Выдан
10.01.2024 - 13:03,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1120,1120,1023,91.33928571428571,Сидоров Алексей,Выдан
10.01.2024 - 15:12,Заказ,Чехол силиконовый прозрачный,3,302,906,720,79.47019867549669,Иванов Сергей,Выдан
10.01.2024 - 16:04,Продажа,Жесткий диск Seagate BarraCuda 1TB,2,3686,7372,1458,19.777536625067825,Сидоров Алексей,
10.01.2024 - 17:00,Заказ,Защитное стекло 3D для iPhone 11/XR,1,481,481,430,89.3970893970894,Сидоров Алексей,Выдан
11.01.2024 - 11:27,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,440,440,239,54.31818181818182,Администратор,Выдан
11.01.2024 - 12:00,Заказ,Чистка системы охлаждения с заменой термопасты,1,1504,1504,1404,93.35106382978722,Администратор,Выдан
11.01.2024 - 12:16,Заказ,Кабель USB - Lightning (Foxconn),2,655,1310,1008,76.94656488549619,Петров Роман,Выдан
11.01.2024 - 19:27,Заказ,Защитное стекло 3D для iPhone 11/XR,1,503,503,455,90.4572564612326,Сидоров Алексей,Выдан
13.01.2024 - 11:23,Заказ,Чехол силиконовый прозрачный,1,293,293,235,80.2047781569966,Сидоров Алексей,Выдан
13.01.2024 - 12:10,Продажа,Чехол силиконовый прозрачный,1,299,299,238,79.59866220735786,Петров Роман,
13.01.2024 - 12:17,Заказ,Наклейка защитного стекла (Услуга),1,212,212,212,100.0,Администратор,Выдан
13.01.2024 - 18:41,Заказ,Диагностика,1,474,474,474,100.0,Иванов Сергей,Выдан
13.01.2024 - 18:56,Заказ,Дисплей iPhone 11 (Копия AAA),1,2558,2558,1120,43.78420641125879,Сидоров Алексей,Выдан
14.01.2024 - 10:51,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5836,5836,1964,33.65318711446196,Сидоров Алексей,Выдан
14.01.2024 - 11:27,Заказ,Установка Windows 10/11 + Драйвера,1,1309,1309,1309,100.0,Сидоров Алексей,Выдан
14.01.2024 - 12:40,Заказ,Диагностика,1,510,510,510,100.0,Сидоров Алексей,Выдан
14.01.2024 - 13:25,Продажа,Блок питания Apple 20W (Copy),1,1095,1095,715,65.29680365296804,Иванов Сергей,
14.01.2024 - 16:13,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1274,1274,1177,92.3861852433281,Иванов Сергей,Выдан
14.01.2024 - 17:04,Заказ,Прошивка Android/iOS,1,1062,1062,1062,100.0,Петров Роман,Выдан
14.01.2024 - 18:18,Заказ,Установка Windows 10/11 + Драйвера,1,1090,1090,1090,100.0,Сидоров Алексей,Выдан
14.01.2024 - 18:46,Заказ,Чистка системы охлаждения с заменой термопасты,1,1613,1613,1512,93.73837569745815,Сидоров Алексей,Выдан
15.01.2024 - 10:43,Продажа,Кабель USB - Lightning (Foxconn),1,649,649,501,77.19568567026194,Администратор,
15.01.2024 - 10:49,Заказ,Наклейка защитного стекла (Услуга),1,209,209,209,100.0,Иванов Сергей,Выдан
15.01.2024 - 18:04,Заказ,Защитное стекло 3D для iPhone 11/XR,1,513,513,465,90.64327485380117,Петров Роман,Выдан
15.01.2024 - 18:35,Заказ,Защитное стекло 3D для iPhone 11/XR,1,537,537,489,91.06145251396647,Сидоров Алексей,Выдан
15.01.2024 - 18:47,Заказ,Восстановление цепи питания,1,4289,4289,3788,88.31895546747494,Сидоров Алексей,Выдан
16.01.2024 - 10:06,Заказ,Наклейка защитного стекла (Услуга),1,217,217,217,100.0,Сидоров Алексей,Выдан
16.01.2024 - 15:30,Заказ,Дисплей iPhone 11 (Копия AAA),1,2711,2711,1304,48.100331980818886,Сидоров Алексей,Выдан
16.01.2024 - 17:04,Продажа,SSD накопитель Kingston 240GB,1,2212,2212,783,35.397830018083184,Иванов Сергей,
16.01.2024 - 17:50,Заказ,Восстановление цепи питания,1,4590,4590,4099,89.30283224400871,Петров Роман,Выдан
16.01.2024 - 18:20,Продажа,SSD накопитель Kingston 240GB,1,2338,2338,869,37.16852010265184,Петров Роман,
17.01.2024 - 10:34,Заказ,Кабель USB - Lightning (Foxconn),1,561,561,406,72.37076648841355,Петров Роман,Выдан
17.01.2024 - 11:06,Заказ,Кабель USB - Lightning (Foxconn),1,582,582,428,73.53951890034365,Петров Роман,Выдан
17.01.2024 - 12:43,Заказ,Чистка системы охлаждения с заменой термопасты,1,1524,1524,1424,93.43832020997375,Петров Роман,Выдан
17.01.2024 - 13:22,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),2,1127,2254,1164,51.641526175687666,Сидоров Алексей,Выдан
17.01.2024 - 13:26,Заказ,Чистка системы охлаждения с заменой термопасты,1,1593,1593,1492,93.65976145637163,Администратор,Выдан
17.01.2024 - 14:04,Заказ,Чехол силиконовый прозрачный,1,285,285,227,79.64912280701755,Иванов Сергей,Выдан
17.01.2024 - 15:40,Заказ,Чистка системы охлаждения с заменой термопасты,1,1615,1615,1511,93.56037151702786,Администратор,Выдан
17.01.2024 - 16:37,Продажа,Чехол силиконовый прозрачный,1,286,286,224,78.32167832167832,Петров Роман,
17.01.2024 - 16:50,Заказ,Диагностика,2,462,924,924,100.0,Петров Роман,Выдан
17.01.2024 - 18:30,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1289,1289,1190,92.31962761830876,Иванов Сергей,Выдан
17.01.2024 - 19:40,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4186,4186,880,21.0224558050645,Петров Роман,Выдан
17.01.2024 - 19:55,Заказ,Восстановление цепи питания,1,4073,4073,3572,87.69948440952615,Петров Роман,Выдан
18.01.2024 - 10:11,Заказ,Кабель USB - Lightning (Foxconn),1,584,584,433,74.14383561643835,Сидоров Алексей,Выдан
18.01.2024 - 10:44,Заказ,Восстановление цепи питания,1,4599,4599,4081,88.73668188736681,Сидоров Алексей,Выдан
18.01.2024 - 10:53,Заказ,Диагностика,2,524,1048,1048,100.0,Администратор,Выдан
18.01.2024 - 13:38,Заказ,Восстановление цепи питания,1,4189,4189,3679,87.82525662449272,Сидоров Алексей,Выдан
18.01.2024 - 14:00,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1257,1257,1160,92.28321400159109,Администратор,Выдан
18.01.2024 - 14:51,Заказ,Чистка системы охлаждения с заменой термопасты,1,1355,1355,1257,92.76752767527675,Сидоров Алексей,Выдан
18.01.2024 - 18:07,Заказ,Блок питания Apple 20W (Copy),1,1219,1219,807,66.20180475799836,Иванов Сергей,Выдан
18.01.2024 - 19:23,Заказ,Дисплей iPhone 11 (Копия AAA),1,2312,2312,977,42.25778546712803,Администратор,Выдан
19.01.2024 - 14:10,Заказ,Восстановление цепи питания,1,4533,4533,4016,88.5947496139422,Администратор,Выдан
19.01.2024 - 14:55,Заказ,Наклейка защитного стекла (Услуга),1,200,200,200,100.0,Петров Роман,Выдан
19.01.2024 - 17:30,Продажа,Блок питания Apple 20W (Copy),1,1234,1234,835,67.66612641815234,Петров Роман,
19.01.2024 - 18:33,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1198,1198,1097,91.56928213689483,Сидоров Алексей,Выдан
19.01.2024 - 18:41,Заказ,Прошивка Android/iOS,1,927,927,927,100.0,Администратор,Выдан
20.01.2024 - 13:45,Продажа,Кабель USB - Lightning (Foxconn),1,581,581,428,73.66609294320138,Сидоров Алексей,
20.01.2024 - 18:59,Заказ,Диагностика,1,547,547,547,100.0,Сидоров Алексей,Выдан
21.01.2024 - 10:59,Продажа,Блок питания Apple 20W (Copy),1,1190,1190,786,66.05042016806722,Администратор,
21.01.2024 - 11:19,Заказ,Чехол силиконовый прозрачный,1,282,282,222,78.72340425531915,Петров Роман,Выдан
21.01.2024 - 13:53,Заказ,Прошивка Android/iOS,1,959,959,959,100.0,Петров Роман,Выдан
21.01.2024 - 17:56,Продажа,Чехол силиконовый прозрачный,1,305,305,248,81.31147540983606,Сидоров Алексей,
21.01.2024 - 19:19,Заказ,Дисплей iPhone 11 (Копия AAA),1,2512,2512,1164,46.33757961783439,Администратор,Выдан
22.01.2024 - 10:25,Заказ,Кабель USB - Lightning (Foxconn),1,594,594,440,74.07407407407408,Администратор,Выдан
22.01.2024 - 12:04,Заказ,Чехол силиконовый прозрачный,1,301,301,242,80.39867109634552,Сидоров Алексей,Выдан
22.01.2024 - 14:22,Продажа,Кабель USB - Lightning (Foxconn),1,655,655,509,77.70992366412214,Петров Роман,
22.01.2024 - 19:27,Заказ,Чехол силиконовый прозрачный,1,303,303,245,80.85808580858085,Иванов Сергей,Выдан
22.01.2024 - 19:37,Заказ,Наклейка защитного стекла (Услуга),1,211,211,211,100.0,Петров Роман,Выдан
22.01.2024 - 19:54,Заказ,Установка Windows 10/11 + Драйвера,1,1129,1129,1129,100.0,Петров Роман,Выдан
23.01.2024 - 11:20,Заказ,Установка Windows 10/11 + Драйвера,1,1172,1172,1172,100.0,Петров Роман,Выдан
23.01.2024 - 14:16,Продажа,Защитное стекло 3D для iPhone 11/XR,1,511,511,462,90.41095890410958,Сидоров Алексей,
23.01.2024 - 15:42,Продажа,Защитное стекло 3D для iPhone 11/XR,1,547,547,498,91.0420475319927,Петров Роман,
23.01.2024 - 17:38,Продажа,Чехол силиконовый прозрачный,3,315,945,765,80.95238095238095,Администратор,
23.01.2024 - 19:37,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,428,428,225,52.570093457943926,Петров Роман,Выдан
24.01.2024 - 13:07,Заказ,Установка Windows 10/11 + Драйвера,1,1303,1303,1303,100.0,Петров Роман,Выдан
24.01.2024 - 13:41,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,494,494,295,59.716599190283404,Иванов Сергей,
24.01.2024 - 18:01,Продажа,Кабель USB - Lightning (Foxconn),2,620,1240,936,75.48387096774194,Петров Роман,
24.01.2024 - 18:03,Продажа,Защитное стекло 3D для iPhone 11/XR,1,482,482,433,89.83402489626556,Иванов Сергей,
24.01.2024 - 18:58,Заказ,Диагностика,1,496,496,496,100.0,Петров Роман,Выдан
24.01.2024 - 19:10,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4448,4448,1119,25.157374100719426,Иванов Сергей,Выдан
24.01.2024 - 19:27,Заказ,Наклейка защитного стекла (Услуга),1,182,182,182,100.0,Петров Роман,Выдан
25.01.2024 - 12:28,Продажа,SSD накопитель Kingston 240GB,1,2244,2244,713,31.77361853832442,Петров Роман,
25.01.2024 - 12:37,Продажа,Чехол силиконовый прозрачный,1,273,273,214,78.3882783882784,Администратор,
25.01.2024 - 12:54,Заказ,Наклейка защитного стекла (Услуга),1,215,215,215,100.0,Петров Роман,Выдан
25.01.2024 - 13:58,Заказ,Диагностика,1,457,457,457,100.0,Администратор,Выдан
25.01.2024 - 14:34,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,415,415,222,53.493975903614455,Администратор,
25.01.2024 - 15:06,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5484,5484,1834,33.44274252370533,Администратор,Выдан
25.01.2024 - 15:16,Продажа,Чехол силиконовый прозрачный,1,289,289,231,79.93079584775087,Петров Роман,
25.01.2024 - 15:37,Заказ,Чехол силиконовый прозрачный,1,324,324,262,80.8641975308642,Администратор,Выдан
25.01.2024 - 16:40,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1250,1250,715,57.199999999999996,Петров Роман,Выдан
25.01.2024 - 17:39,Заказ,Кабель USB - Lightning (Foxconn),1,542,542,386,71.21771217712177,Сидоров Алексей,Выдан
25.01.2024 - 17:48,Заказ,Диагностика,1,452,452,452,100.0,Администратор,Выдан
25.01.2024 - 18:46,Продажа,Чехол силиконовый прозрачный,1,273,273,216,79.12087912087912,Петров Роман,
26.01.2024 - 10:46,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4916,4916,1737,35.33360455655004,Сидоров Алексей,Выдан
26.01.2024 - 11:19,Заказ,Кабель USB - Lightning (Foxconn),1,581,581,433,74.52667814113597,Сидоров Алексей,Выдан
26.01.2024 - 11:52,Заказ,Наклейка защитного стекла (Услуга),1,219,219,219,100.0,Петров Роман,Выдан
26.01.2024 - 13:21,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,409,409,211,51.58924205378973,Администратор,Выдан
26.01.2024 - 15:20,Продажа,Чехол силиконовый прозрачный,1,299,299,242,80.93645484949833,Петров Роман,
26.01.2024 - 16:07,Заказ,Наклейка защитного стекла (Услуга),1,204,204,204,100.0,Администратор,Выдан
26.01.2024 - 17:08,Заказ,Чехол силиконовый прозрачный,1,270,270,211,78.14814814814814,Петров Роман,Выдан
26.01.2024 - 18:34,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,409,409,205,50.12224938875306,Администратор,
27.01.2024 - 10:58,Заказ,Замена разъема зарядки (MicroUSB/Type-C),2,1300,2600,2406,92.53846153846153,Сидоров Алексей,Выдан
27.01.2024 - 11:17,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5994,5994,2307,38.488488488488485,Администратор,Выдан
27.01.2024 - 11:35,Заказ,Блок питания Apple 20W (Copy),1,1198,1198,784,65.4424040066778,Петров Роман,Выдан
27.01.2024 - 12:08,Заказ,Дисплей iPhone 11 (Копия AAA),1,2564,2564,1132,44.14976599063963,Иванов Сергей,Выдан
27.01.2024 - 17:07,Заказ,Чистка системы охлаждения с заменой термопасты,1,1561,1561,1457,93.33760409993593,Администратор,Выдан
28.01.2024 - 10:14,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1184,1184,1089,91.97635135135135,Петров Роман,Выдан
28.01.2024 - 12:34,Заказ,Чистка системы охлаждения с заменой термопасты,2,1473,2946,2738,92.93957909029193,Администратор,Выдан
28.01.2024 - 13:53,Заказ,Блок питания Apple 20W (Copy),1,1308,1308,896,68.50152905198776,Администратор,Выдан
28.01.2024 - 15:48,Заказ,Наклейка защитного стекла (Услуга),1,186,186,186,100.0,Иванов Сергей,Выдан
28.01.2024 - 18:33,Заказ,Кабель USB - Lightning (Foxconn),1,623,623,467,74.95987158908507,Петров Роман,Выдан
29.01.2024 - 10:27,Продажа,Кабель USB - Lightning (Foxconn),1,554,554,398,71.84115523465704,Администратор,
29.01.2024 - 11:32,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1099,1099,568,51.68334849863512,Сидоров Алексей,Выдан
29.01.2024 - 13:06,Заказ,Защитное стекло 3D для iPhone 11/XR,1,478,478,430,89.9581589958159,Иванов Сергей,Выдан
29.01.2024 - 14:09,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1241,1241,706,56.88960515713135,Сидоров Алексей,Выдан
29.01.2024 - 15:58,Заказ,Прошивка Android/iOS,1,1049,1049,1049,100.0,Иванов Сергей,Выдан
29.01.2024 - 16:31,Продажа,Защитное стекло 3D для iPhone 11/XR,2,503,1006,906,90.05964214711729,Иванов Сергей,
29.01.2024 - 16:44,Заказ,Наклейка защитного стекла (Услуга),1,210,210,210,100.0,Иванов Сергей,Выдан
29.01.2024 - 17:13,Заказ,Установка Windows 10/11 + Драйвера,1,1272,1272,1272,100.0,Петров Роман,Выдан
29.01.2024 - 17:16,Продажа,Чехол силиконовый прозрачный,1,302,302,243,80.4635761589404,Сидоров Алексей,
29.01.2024 - 17:20,Заказ,Кабель USB - Lightning (Foxconn),1,556,556,403,72.48201438848922,Иванов Сергей,Выдан
29.01.2024 - 17:28,Заказ,Защитное стекло 3D для iPhone 11/XR,1,509,509,458,89.9803536345776,Иванов Сергей,Выдан
30.01.2024 - 13:52,Продажа,Чехол силиконовый прозрачный,2,286,572,448,78.32167832167832,Сидоров Алексей,
30.01.2024 - 16:28,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1298,1298,1200,92.44992295839754,Иванов Сергей,Выдан
30.01.2024 - 17:34,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1127,1127,1023,90.77196095829636,Петров Роман,Выдан
30.01.2024 - 19:33,Заказ,Чехол силиконовый прозрачный,1,290,290,231,79.65517241379311,Иванов Сергей,Выдан
31.01.2024 - 10:10,Заказ,Чехол силиконовый прозрачный,2,288,576,452,78.47222222222221,Иванов Сергей,Выдан
31.01.2024 - 12:17,Продажа,Кабель USB - Lightning (Foxconn),1,574,574,431,75.08710801393728,Иванов Сергей,
31.01.2024 - 14:27,Продажа,Кабель USB - Lightning (Foxconn),1,630,630,474,75.23809523809524,Иванов Сергей,
31.01.2024 - 17:41,Заказ,Восстановление цепи питания,2,4511,9022,7980,88.45045444469075,Иванов Сергей,Выдан
31.01.2024 - 18:49,Заказ,Блок питания Apple 20W (Copy),1,1161,1161,772,66.4944013781223,Иванов Сергей,Выдан
01.02.2024 - 11:56,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1182,1182,1082,91.53976311336717,Администратор,Выдан
01.02.2024 - 12:09,Заказ,Кабель USB - Lightning (Foxconn),1,629,629,477,75.83465818759937,Петров Роман,Выдан
01.02.2024 - 12:18,Продажа,Чехол силиконовый прозрачный,1,287,287,226,78.74564459930313,Сидоров Алексей,
01.02.2024 - 15:54,Заказ,Кабель USB - Lightning (Foxconn),1,643,643,497,77.29393468118197,Сидоров Алексей,Выдан
01.02.2024 - 16:03,Заказ,Наклейка защитного стекла (Услуга),2,213,426,426,100.0,Сидоров Алексей,Выдан
01.02.2024 - 16:39,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,419,419,223,53.22195704057279,Иванов Сергей,Выдан
01.02.2024 - 18:16,Заказ,Наклейка защитного стекла (Услуга),2,219,438,438,100.0,Петров Роман,Выдан
01.02.2024 - 18:17,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4098,4098,877,21.40068326012689,Администратор,Выдан
02.02.2024 - 10:03,Заказ,Чистка системы охлаждения с заменой термопасты,1,1476,1476,1378,93.36043360433605,Сидоров Алексей,Выдан
02.02.2024 - 11:43,Заказ,Кабель USB - Lightning (Foxconn),1,581,581,436,75.04302925989673,Сидоров Алексей,Выдан
02.02.2024 - 12:03,Заказ,Прошивка Android/iOS,1,1098,1098,1098,100.0,Сидоров Алексей,Выдан
02.02.2024 - 12:11,Заказ,Наклейка защитного стекла (Услуга),1,198,198,198,100.0,Администратор,Выдан
02.02.2024 - 14:50,Заказ,Чехол силиконовый прозрачный,1,311,311,253,81.35048231511254,Сидоров Алексей,Выдан
02.02.2024 - 19:42,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1151,1151,1052,91.39878366637706,Администратор,Выдан
02.02.2024 - 19:42,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1200,1200,1101,91.75,Иванов Сергей,Выдан
03.02.2024 - 10:22,Заказ,Блок питания Apple 20W (Copy),2,1175,2350,1572,66.8936170212766,Иванов Сергей,Выдан
03.02.2024 - 11:04,Заказ,Наклейка защитного стекла (Услуга),1,195,195,195,100.0,Петров Роман,Выдан
03.02.2024 - 11:42,Заказ,Дисплей iPhone 11 (Копия AAA),1,2458,2458,1048,42.63628966639544,Петров Роман,Выдан
04.02.2024 - 10:10,Продажа,Защитное стекло 3D для iPhone 11/XR,1,504,504,455,90.27777777777779,Петров Роман,
04.02.2024 - 13:03,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,460,460,268,58.26086956521739,Иванов Сергей,
04.02.2024 - 13:19,Заказ,Установка Windows 10/11 + Драйвера,1,1137,1137,1137,100.0,Администратор,Выдан
04.02.2024 - 14:17,Заказ,Диагностика,1,483,483,483,100.0,Сидоров Алексей,Выдан
04.02.2024 - 15:51,Продажа,Кабель USB - Lightning (Foxconn),1,590,590,434,73.5593220338983,Иванов Сергей,
04.02.2024 - 17:39,Заказ,Чистка системы охлаждения с заменой термопасты,1,1465,1465,1362,92.96928327645051,Петров Роман,Выдан
04.02.2024 - 18:54,Заказ,Чистка системы охлаждения с заменой термопасты,1,1460,1460,1359,93.08219178082192,Петров Роман,Выдан
05.02.2024 - 10:48,Заказ,Дисплей iPhone 11 (Копия AAA),1,2552,2552,1181,46.277429467084644,Иванов Сергей,Выдан
05.02.2024 - 12:46,Заказ,Установка Windows 10/11 + Драйвера,1,1314,1314,1314,100.0,Администратор,Выдан
05.02.2024 - 17:01,Продажа,Кабель USB - Lightning (Foxconn),1,637,637,485,76.138147566719,Петров Роман,
05.02.2024 - 18:30,Продажа,Блок питания Apple 20W (Copy),1,1262,1262,872,69.09667194928684,Сидоров Алексей,
05.02.2024 - 18:47,Продажа,Блок питания Apple 20W (Copy),1,1224,1224,825,67.40196078431373,Администратор,
05.02.2024 - 19:12,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5411,5411,1674,30.93698022546664,Администратор,Выдан
05.02.2024 - 19:52,Заказ,Замена разъема зарядки (MicroUSB/Type-C),2,1173,2346,2150,91.64535379369138,Администратор,Выдан
06.02.2024 - 15:11,Заказ,Чистка системы охлаждения с заменой термопасты,3,1393,4179,3867,92.5340990667624,Иванов Сергей,Выдан
06.02.2024 - 16:15,Заказ,Диагностика,1,512,512,512,100.0,Сидоров Алексей,Выдан
06.02.2024 - 16:25,Продажа,Защитное стекло 3D для iPhone 11/XR,1,516,516,467,90.50387596899225,Сидоров Алексей,
