Дата,Тип документа,Название,Количество,Цена,Сумма,Валовая прибыль (руб),Валовая прибыль (%),Сотрудник,Статус
08.01.2025 - 18:45,Продажа,Кабель USB - Lightning (Foxconn),2,598,1196,900,75.25083612040135,Иванов Сергей,
08.01.2025 - 19:59,Продажа,Кабель USB - Lightning (Foxconn),1,561,561,418,74.50980392156863,Петров Роман,
09.01.2025 - 11:30,Заказ,Чистка системы охлаждения с заменой термопасты,1,1397,1397,1301,93.12813171080889,Администратор,Выдан
09.01.2025 - 14:55,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5086,5086,1298,25.521038143924496,Администратор,Выдан
09.01.2025 - 16:07,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1196,1196,622,52.0066889632107,Администратор,Выдан
09.01.2025 - 17:40,Продажа,SSD накопитель Kingston 240GB,1,2286,2286,822,35.958005249343834,Иванов Сергей,
09.01.2025 - 18:16,Продажа,Блок питания Apple 20W (Copy),1,1261,1261,863,68.43774781919112,Администратор,
10.01.2025 - 13:14,Заказ,Дисплей iPhone 11 (Копия AAA),1,2365,2365,1033,43.678646934460886,Петров Роман,Выдан
10.01.2025 - 16:38,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1319,1319,744,56.40636846095527,Администратор,Выдан
10.01.2025 - 17:01,Продажа,Чехол силиконовый прозрачный,1,308,308,249,80.84415584415584,Администратор,
10.01.2025 - 17:50,Продажа,Чехол силиконовый прозрачный,2,322,644,526,81.67701863354037,Петров Роман,
10.01.2025 - 19:25,Заказ,Диагностика,1,453,453,453,100.0,Сидоров Алексей,Выдан
11.01.2025 - 10:28,Заказ,Восстановление цепи питания,1,4885,4885,4398,90.03070624360286,Сидоров Алексей,Выдан
11.01.2025 - 14:32,Заказ,Наклейка защитного стекла (Услуга),1,187,187,187,100.0,Петров Роман,Выдан
11.01.2025 - 14:54,Заказ,Чистка системы охлаждения с заменой термопасты,1,1549,1549,1453,93.80245319561007,Администратор,Выдан
11.01.2025 - 19:29,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1310,1310,733,55.954198473282446,Иванов Сергей,Выдан
12.01.2025 - 10:08,Заказ,Дисплей iPhone 11 (Копия AAA),1,2330,2330,980,42.06008583690987,Петров Роман,Выдан
12.01.2025 - 11:32,Заказ,Установка Windows 10/11 + Драйвера,1,1089,1089,1089,100.0,Петров Роман,Выдан
12.01.2025 - 13:28,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,494,494,300,60.72874493927125,Сидоров Алексей,Выдан
12.01.2025 - 17:27,Продажа,SSD накопитель Kingston 240GB,1,2233,2233,803,35.960591133004925,Иванов Сергей,
12.01.2025 - 18:29,Продажа,Защитное стекло 3D для iPhone 11/XR,2,479,958,860,89.77035490605428,Сидоров Алексей,
13.01.2025 - 13:06,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1271,1271,1169,91.9748229740362,Петров Роман,Выдан
13.01.2025 - 16:25,Заказ,Прошивка Android/iOS,2,992,1984,1984,100.0,Сидоров Алексей,Выдан
13.01.2025 - 19:09,Заказ,Кабель USB - Lightning (Foxconn),2,588,1176,874,74.31972789115646,Сидоров Алексей,Выдан
14.01.2025 - 12:08,Заказ,Чистка системы охлаждения с заменой термопасты,2,1362,2724,2518,92.43759177679883,Петров Роман,Выдан
14.01.2025 - 18:06,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1175,1175,609,51.829787234042556,Иванов Сергей,Выдан
14.01.2025 - 18:54,Заказ,Восстановление цепи питания,1,4477,4477,3969,88.6531159258432,Сидоров Алексей,Выдан
15.01.2025 - 11:24,Заказ,Дисплей iPhone 11 (Копия AAA),1,2744,2744,1387,50.546647230320694,Петров Роман,Выдан
15.01.2025 - 13:27,Продажа,Кабель USB - Lightning (Foxconn),1,559,559,414,74.0608228980322,Сидоров Алексей,
15.01.2025 - 14:41,Продажа,Защитное стекло 3D для iPhone 11/XR,1,548,548,500,91.24087591240875,Иванов Сергей,
15.01.2025 - 15:07,Заказ,Чехол силиконовый прозрачный,1,312,312,250,80.12820512820514,Сидоров Алексей,Выдан
15.01.2025 - 16:37,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1109,1109,1010,91.07303877366996,Иванов Сергей,Выдан
15.01.2025 - 18:46,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,406,406,216,53.20197044334976,Администратор,
15.01.2025 - 19:29,Заказ,Установка Windows 10/11 + Драйвера,1,1144,1144,1144,100.0,Сидоров Алексей,Выдан
16.01.2025 - 11:04,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1104,1104,1009,91.39492753623189,Иванов Сергей,Выдан
16.01.2025 - 11:16,Продажа,Блок питания Apple 20W (Copy),1,1303,1303,898,68.91788181120491,Иванов Сергей,
16.01.2025 - 16:06,Заказ,Блок питания Apple 20W (Copy),1,1275,1275,881,69.09803921568628,Сидоров Алексей,Выдан
17.01.2025 - 10:08,Заказ,Кабель USB - Lightning (Foxconn),1,614,614,462,75.2442996742671,Администратор,Выдан
17.01.2025 - 11:09,Заказ,Наклейка защитного стекла (Услуга),1,200,200,200,100.0,Администратор,Выдан
17.01.2025 - 13:48,Продажа,Блок питания Apple 20W (Copy),1,1181,1181,792,67.06181202370873,Иванов Сергей,
18.01.2025 - 19:58,Продажа,Чехол силиконовый прозрачный,1,320,320,261,81.5625,Администратор,
19.01.2025 - 10:57,Заказ,Чистка системы охлаждения с заменой термопасты,1,1529,1529,1426,93.26357096141268,Петров Роман,Выдан
19.01.2025 - 11:17,Заказ,Установка Windows 10/11 + Драйвера,1,1127,1127,1127,100.0,Сидоров Алексей,Выдан
19.01.2025 - 11:54,Заказ,Наклейка защитного стекла (Услуга),1,185,185,185,100.0,Иванов Сергей,Выдан
19.01.2025 - 11:55,Заказ,Защитное стекло 3D для iPhone 11/XR,1,459,459,407,88.67102396514161,Администратор,Выдан
19.01.2025 - 19:59,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1222,1222,1123,91.89852700490998,Петров Роман,Выдан
20.01.2025 - 11:50,Продажа,Защитное стекло 3D для iPhone 11/XR,1,458,458,409,89.30131004366812,Сидоров Алексей,
20.01.2025 - 15:29,Заказ,Дисплей iPhone 11 (Копия AAA),3,2271,6813,2682,39.365918097754296,Сидоров Алексей,Выдан
20.01.2025 - 15:34,Заказ,Блок питания Apple 20W (Copy),1,1163,1163,749,64.402407566638,Администратор,Выдан
20.01.2025 - 18:54,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1100,1100,540,49.09090909090909,Иванов Сергей,Выдан
21.01.2025 - 11:58,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1297,1297,1199,92.44410177332306,Сидоров Алексей,Выдан
21.01.2025 - 17:11,Заказ,Диагностика,3,508,1524,1524,100.0,Сидоров Алексей,Выдан
22.01.2025 - 12:52,Заказ,Восстановление цепи питания,1,4637,4637,4128,89.02307526417943,Сидоров Алексей,Выдан
22.01.2025 - 14:59,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1110,1110,1011,91.08108108108108,Иванов Сергей,Выдан
22.01.2025 - 17:07,Заказ,Замена разъема зарядки (MicroUSB/Type-C),3,1210,3630,3345,92.14876033057851,Сидоров Алексей,Выдан
24.01.2025 - 12:50,Продажа,Кабель USB - Lightning (Foxconn),1,631,631,486,77.02060221870047,Иванов Сергей,
24.01.2025 - 14:18,Продажа,Кабель USB - Lightning (Foxconn),1,616,616,464,75.32467532467533,Администратор,
24.01.2025 - 15:41,Продажа,Защитное стекло 3D для iPhone 11/XR,1,527,527,478,90.70208728652752,Сидоров Алексей,
24.01.2025 - 15:43,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,456,456,266,58.333333333333336,Сидоров Алексей,
25.01.2025 - 14:19,Заказ,Восстановление цепи питания,2,4264,8528,7510,88.06285178236398,Иванов Сергей,Выдан
25.01.2025 - 18:02,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5269,5269,1309,24.843423799582464,Иванов Сергей,Выдан
26.01.2025 - 11:11,Продажа,Защитное стекло 3D для iPhone 11/XR,1,489,489,442,90.38854805725971,Сидоров Алексей,
26.01.2025 - 11:39,Продажа,Чехол силиконовый прозрачный,1,323,323,265,82.04334365325077,Петров Роман,
26.01.2025 - 11:58,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4110,4110,906,22.043795620437955,Администратор,Выдан
26.01.2025 - 12:45,Заказ,Прошивка Android/iOS,1,951,951,951,100.0,Администратор,Выдан
26.01.2025 - 19:48,Заказ,Защитное стекло 3D для iPhone 11/XR,1,548,548,501,91.42335766423358,Администратор,Выдан
27.01.2025 - 12:55,Продажа,Кабель USB - Lightning (Foxconn),1,626,626,482,76.99680511182109,Иванов Сергей,
27.01.2025 - 16:27,Заказ,Кабель USB - Lightning (Foxconn),1,551,551,403,73.13974591651544,Администратор,Выдан
28.01.2025 - 10:16,Заказ,Наклейка защитного стекла (Услуга),1,197,197,197,100.0,Петров Роман,Выдан
28.01.2025 - 10:44,Заказ,Кабель USB - Lightning (Foxconn),1,659,659,502,76.17602427921094,Петров Роман,Выдан
28.01.2025 - 14:19,Продажа,Блок питания Apple 20W (Copy),1,1097,1097,700,63.81039197812215,Администратор,
28.01.2025 - 16:44,Заказ,Диагностика,1,479,479,479,100.0,Сидоров Алексей,Выдан
28.01.2025 - 19:34,Заказ,Блок питания Apple 20W (Copy),1,1187,1187,797,67.14406065711879,Иванов Сергей,Выдан
28.01.2025 - 19:38,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1276,1276,723,56.66144200626959,Администратор,Выдан
29.01.2025 - 11:58,Заказ,Кабель USB - Lightning (Foxconn),1,555,555,404,72.7927927927928,Петров Роман,Выдан
29.01.2025 - 12:29,Заказ,Чехол силиконовый прозрачный,1,294,294,235,79.93197278911565,Администратор,Выдан
29.01.2025 - 15:58,Продажа,Блок питания Apple 20W (Copy),1,1227,1227,828,67.48166259168704,Администратор,
30.01.2025 - 10:50,Заказ,Наклейка защитного стекла (Услуга),1,208,208,208,100.0,Администратор,Выдан
30.01.2025 - 12:07,Заказ,Чехол силиконовый прозрачный,1,329,329,269,81.7629179331307,Администратор,Выдан
31.01.2025 - 10:32,Продажа,Защитное стекло 3D для iPhone 11/XR,1,517,517,468,90.52224371373308,Администратор,
31.01.2025 - 18:17,Продажа,Кабель USB - Lightning (Foxconn),1,652,652,499,76.53374233128835,Администратор,
01.02.2025 - 13:32,Заказ,Защитное стекло 3D для iPhone 11/XR,1,499,499,451,90.38076152304609,Иванов Сергей,Выдан
01.02.2025 - 17:11,Заказ,Наклейка защитного стекла (Услуга),1,181,181,181,100.0,Иванов Сергей,Выдан
01.02.2025 - 17:59,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1224,1224,1129,92.23856209150327,Сидоров Алексей,Выдан
01.02.2025 - 19:01,Продажа,Кабель USB - Lightning (Foxconn),1,635,635,489,77.00787401574803,Сидоров Алексей,
02.02.2025 - 11:29,Заказ,Кабель USB - Lightning (Foxconn),1,650,650,499,76.76923076923077,Петров Роман,Выдан
02.02.2025 - 12:11,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4511,4511,1325,29.37264464641986,Петров Роман,Выдан
02.02.2025 - 15:13,Заказ,Кабель USB - Lightning (Foxconn),1,588,588,438,74.48979591836735,Сидоров Алексей,Выдан
03.02.2025 - 10:34,Заказ,Кабель USB - Lightning (Foxconn),1,578,578,432,74.74048442906575,Администратор,Выдан
03.02.2025 - 14:54,Заказ,Наклейка защитного стекла (Услуга),1,194,194,194,100.0,Администратор,Выдан
03.02.2025 - 16:27,Заказ,Чистка системы охлаждения с заменой термопасты,1,1587,1587,1484,93.50976685570258,Сидоров Алексей,Выдан
03.02.2025 - 18:27,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,437,437,241,55.1487414187643,Администратор,
03.02.2025 - 19:36,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,409,409,209,51.1002444987775,Иванов Сергей,Выдан
04.02.2025 - 12:51,Заказ,Восстановление цепи питания,1,4301,4301,3820,88.81655428970006,Сидоров Алексей,Выдан
04.02.2025 - 14:29,Заказ,Чистка системы охлаждения с заменой термопасты,1,1387,1387,1290,93.00648882480172,Петров Роман,Выдан
04.02.2025 - 16:58,Заказ,Жесткий диск Seagate BarraCuda 1TB,1,4172,4172,1185,28.403643336529242,Администратор,Выдан
05.02.2025 - 15:42,Заказ,Наклейка защитного стекла (Услуга),1,214,214,214,100.0,Иванов Сергей,Выдан
06.02.2025 - 14:09,Заказ,Чистка системы охлаждения с заменой термопасты,1,1533,1533,1431,93.34637964774952,Иванов Сергей,Выдан
06.02.2025 - 15:11,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4137,4137,986,23.833695914914188,Иванов Сергей,Выдан
06.02.2025 - 17:58,Заказ,SSD накопитель Kingston 240GB,1,2009,2009,544,27.078148332503734,Администратор,Выдан
07.02.2025 - 10:04,Продажа,Чехол силиконовый прозрачный,1,310,310,249,80.3225806451613,Иванов Сергей,
07.02.2025 - 13:26,Заказ,Дисплей iPhone 11 (Копия AAA),1,2551,2551,1098,43.04194433555468,Иванов Сергей,Выдан
07.02.2025 - 19:41,Заказ,Защитное стекло 3D для iPhone 11/XR,2,533,1066,968,90.80675422138836,Петров Роман,Выдан
08.02.2025 - 15:09,Заказ,Установка Windows 10/11 + Драйвера,1,1227,1227,1227,100.0,Петров Роман,Выдан
09.02.2025 - 10:04,Заказ,Восстановление цепи питания,2,4887,9774,8794,89.97339881317782,Петров Роман,Выдан
09.02.2025 - 11:02,Заказ,Блок питания Apple 20W (Copy),1,1250,1250,845,67.60000000000001,Петров Роман,Выдан
09.02.2025 - 13:48,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",3,4055,12165,2235,18.372379778051787,Петров Роман,Выдан
09.02.2025 - 13:52,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1278,1278,1179,92.25352112676056,Сидоров Алексей,Выдан
09.02.2025 - 14:20,Продажа,Чехол силиконовый прозрачный,1,279,279,220,78.85304659498208,Петров Роман,
09.02.2025 - 17:27,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4523,4523,1373,30.355958434667258,Сидоров Алексей,Выдан
09.02.2025 - 19:58,Заказ,Установка Windows 10/11 + Драйвера,1,1259,1259,1259,100.0,Сидоров Алексей,Выдан
10.02.2025 - 11:37,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1218,1218,1116,91.62561576354679,Иванов Сергей,Выдан
10.02.2025 - 18:18,Продажа,Чехол силиконовый прозрачный,1,322,322,260,80.74534161490683,Администратор,
11.02.2025 - 13:52,Заказ,Диагностика,1,543,543,543,100.0,Сидоров Алексей,Выдан
11.02.2025 - 15:31,Заказ,16GB USB 2.0 Flash Drive SmartBuy,2,421,842,452,53.681710213776725,Иванов Сергей,Выдан
11.02.2025 - 19:09,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4727,4727,1379,29.172836894436216,Иванов Сергей,Выдан
12.02.2025 - 10:23,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1197,1197,1101,91.97994987468672,Иванов Сергей,Выдан
12.02.2025 - 13:08,Заказ,Установка Windows 10/11 + Драйвера,1,1192,1192,1192,100.0,Иванов Сергей,Выдан
12.02.2025 - 16:15,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),2,1193,2386,1280,53.64626990779547,Петров Роман,Выдан
12.02.2025 - 18:08,Заказ,Наклейка защитного стекла (Услуга),1,187,187,187,100.0,Сидоров Алексей,Выдан
13.02.2025 - 10:31,Заказ,Диагностика,1,532,532,532,100.0,Администратор,Выдан
13.02.2025 - 13:22,Продажа,Чехол силиконовый прозрачный,1,318,318,258,81.13207547169812,Администратор,
13.02.2025 - 19:45,Заказ,Чистка системы охлаждения с заменой термопасты,1,1641,1641,1545,94.14990859232175,Администратор,Выдан
14.02.2025 - 10:14,Заказ,Чистка системы охлаждения с заменой термопасты,1,1611,1611,1509,93.66852886405958,Петров Роман,Выдан
14.02.2025 - 11:34,Заказ,Чехол силиконовый прозрачный,1,312,312,254,81.41025641025641,Петров Роман,Выдан
14.02.2025 - 14:16,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5062,5062,1450,28.644804425128406,Администратор,Выдан
14.02.2025 - 18:01,Продажа,Кабель USB - Lightning (Foxconn),1,601,601,454,75.54076539101497,Иванов Сергей,
15.02.2025 - 12:45,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,447,447,243,54.36241610738255,Администратор,Выдан
15.02.2025 - 13:12,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1307,1307,1204,92.11935730680949,Иванов Сергей,Выдан
15.02.2025 - 13:55,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1314,1314,1210,92.08523592085236,Иванов Сергей,Выдан
15.02.2025 - 15:27,Заказ,Наклейка защитного стекла (Услуга),1,182,182,182,100.0,Сидоров Алексей,Выдан
16.02.2025 - 12:29,Заказ,Чехол силиконовый прозрачный,1,327,327,269,82.26299694189603,Петров Роман,Выдан
16.02.2025 - 16:41,Заказ,Восстановление цепи питания,1,4078,4078,3571,87.56743501716528,Администратор,Выдан
18.02.2025 - 14:50,Продажа,Чехол силиконовый прозрачный,1,318,318,259,81.44654088050315,Администратор,
18.02.2025 - 17:19,Заказ,Защитное стекло 3D для iPhone 11/XR,1,499,499,451,90.38076152304609,Петров Роман,Выдан
18.02.2025 - 17:34,Продажа,Защитное стекло 3D для iPhone 11/XR,1,478,478,429,89.7489539748954,Иванов Сергей,
19.02.2025 - 13:11,Заказ,Чистка системы охлаждения с заменой термопасты,1,1357,1357,1255,92.4834193072955,Иванов Сергей,Выдан
20.02.2025 - 10:39,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4247,4247,909,21.40334353661408,Иванов Сергей,Выдан
20.02.2025 - 11:33,Заказ,Чистка системы охлаждения с заменой термопасты,1,1429,1429,1333,93.28201539538139,Иванов Сергей,Выдан
20.02.2025 - 18:55,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,420,420,213,50.71428571428571,Администратор,
21.02.2025 - 10:29,Заказ,Установка Windows 10/11 + Драйвера,1,1289,1289,1289,100.0,Петров Роман,Выдан
21.02.2025 - 11:09,Продажа,Чехол силиконовый прозрачный,1,290,290,231,79.65517241379311,Сидоров Алексей,
21.02.2025 - 12:24,Заказ,Дисплей iPhone 11 (Копия AAA),1,2525,2525,1173,46.45544554455446,Сидоров Алексей,Выдан
21.02.2025 - 15:47,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4645,4645,1454,31.30247578040904,Петров Роман,Выдан
21.02.2025 - 18:29,Продажа,Чехол силиконовый прозрачный,1,274,274,217,79.1970802919708,Петров Роман,
22.02.2025 - 11:58,Продажа,Защитное стекло 3D для iPhone 11/XR,2,507,1014,912,89.94082840236686,Петров Роман,
22.02.2025 - 12:14,Заказ,Прошивка Android/iOS,1,901,901,901,100.0,Петров Роман,Выдан
22.02.2025 - 15:34,Заказ,Дисплей iPhone 11 (Копия AAA),1,2576,2576,1230,47.74844720496895,Сидоров Алексей,Выдан
22.02.2025 - 19:16,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1094,1094,553,50.54844606946983,Петров Роман,Выдан
23.02.2025 - 19:15,Заказ,Наклейка защитного стекла (Услуга),1,212,212,212,100.0,Сидоров Алексей,Выдан
24.02.2025 - 10:47,Заказ,Чехол силиконовый прозрачный,1,306,306,246,80.3921568627451,Администратор,Выдан
24.02.2025 - 14:02,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1278,1278,1183,92.56651017214398,Петров Роман,Выдан
24.02.2025 - 15:01,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,485,485,281,57.938144329896915,Сидоров Алексей,
24.02.2025 - 15:38,Продажа,Кабель USB - Lightning (Foxconn),1,553,553,410,74.14104882459313,Администратор,
24.02.2025 - 17:35,Заказ,Прошивка Android/iOS,1,982,982,982,100.0,Сидоров Алексей,Выдан
24.02.2025 - 19:07,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,493,493,293,59.43204868154158,Иванов Сергей,Выдан
25.02.2025 - 13:34,Заказ,Диагностика,1,455,455,455,100.0,Администратор,Выдан
25.02.2025 - 16:14,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1265,1265,1161,91.77865612648222,Иванов Сергей,Выдан
26.02.2025 - 19:04,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4067,4067,776,19.080403245635605,Администратор,Выдан
27.02.2025 - 10:30,Заказ,Чистка системы охлаждения с заменой термопасты,1,1432,1432,1330,92.87709497206704,Сидоров Алексей,Выдан
27.02.2025 - 13:57,Продажа,Защитное стекло 3D для iPhone 11/XR,1,465,465,417,89.6774193548387,Сидоров Алексей,
27.02.2025 - 15:23,Заказ,Установка Windows 10/11 + Драйвера,1,1132,1132,1132,100.0,Администратор,Выдан
27.02.2025 - 16:28,Заказ,Диагностика,1,535,535,535,100.0,Иванов Сергей,Выдан
27.02.2025 - 16:44,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,465,465,274,58.924731182795696,Иванов Сергей,
27.02.2025 - 16:46,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,426,426,222,52.112676056338024,Сидоров Алексей,Выдан
27.02.2025 - 17:46,Заказ,Установка Windows 10/11 + Драйвера,1,1193,1193,1193,100.0,Иванов Сергей,Выдан
28.02.2025 - 12:56,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1221,1221,1125,92.13759213759214,Петров Роман,Выдан
28.02.2025 - 13:19,Заказ,Наклейка защитного стекла (Услуга),1,189,189,189,100.0,Петров Роман,Выдан
28.02.2025 - 14:13,Заказ,Кабель USB - Lightning (Foxconn),1,621,621,474,76.32850241545893,Петров Роман,Выдан
28.02.2025 - 16:07,Заказ,Наклейка защитного стекла (Услуга),1,205,205,205,100.0,Администратор,Выдан
01.03.2025 - 15:37,Заказ,Установка Windows 10/11 + Драйвера,1,1191,1191,1191,100.0,Сидоров Алексей,Выдан
02.03.2025 - 10:43,Заказ,Чистка системы охлаждения с заменой термопасты,1,1460,1460,1365,93.4931506849315,Сидоров Алексей,Выдан
02.03.2025 - 12:05,Продажа,Кабель USB - Lightning (Foxconn),1,597,597,448,75.04187604690117,Иванов Сергей,
02.03.2025 - 12:40,Заказ,Чистка системы охлаждения с заменой термопасты,1,1566,1566,1469,93.80587484035759,Иванов Сергей,Выдан
02.03.2025 - 13:54,Заказ,Диагностика,1,527,527,527,100.0,Иванов Сергей,Выдан
03.03.2025 - 10:20,Заказ,Диагностика,1,522,522,522,100.0,Петров Роман,Выдан
03.03.2025 - 13:21,Заказ,Дисплей iPhone 11 (Копия AAA),1,2519,2519,1163,46.169114728066695,Петров Роман,Выдан
03.03.2025 - 13:26,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4148,4148,1025,24.71070395371263,Администратор,Выдан
03.03.2025 - 13:30,Продажа,Блок питания Apple 20W (Copy),1,1114,1114,701,62.92639138240575,Администратор,
03.03.2025 - 17:56,Продажа,Блок питания Apple 20W (Copy),1,1240,1240,845,68.14516129032258,Петров Роман,
04.03.2025 - 18:40,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1293,1293,1193,92.26604795050271,Иванов Сергей,Выдан
04.03.2025 - 18:40,Продажа,Чехол силиконовый прозрачный,1,284,284,225,79.22535211267606,Иванов Сергей,
05.03.2025 - 10:02,Заказ,Установка Windows 10/11 + Драйвера,1,1109,1109,1109,100.0,Администратор,Выдан
05.03.2025 - 10:06,Заказ,Диагностика,1,481,481,481,100.0,Иванов Сергей,Выдан
05.03.2025 - 10:54,Заказ,Дисплей iPhone 11 (Копия AAA),1,2250,2250,858,38.13333333333333,Администратор,Выдан
05.03.2025 - 13:25,Заказ,Блок питания Apple 20W (Copy),1,1248,1248,845,67.70833333333334,Иванов Сергей,Выдан
05.03.2025 - 17:21,Заказ,Дисплей iPhone 11 (Копия AAA),1,2630,2630,1218,46.31178707224334,Сидоров Алексей,Выдан
